nacres.code	nacres.description.fr	nacres.description.en	ceda.code	ceda.description	ceda.ef.kg.co2e.per.euro	ceda.uncertainty.attr.kg.co2e.per.euro	ceda.uncertainty.80pct.kg.co2e.per.euro	ademe.code	ademe.description	ademe.ef.kg.co2e.per.euro	ademe.uncertainty.attr.kg.co2e.per.euro	ademe.uncertainty.80pct.kg.co2e.per.euro	useeio.code	useeio.description	useeio.ef.kg.co2e.per.euro	useeio.uncertainty.attr.kg.co2e.per.euro	useeio.uncertainty.80pct.kg.co2e.per.euro	per1p5macro.ef.kg.co2e.per.euro	per1p5macro.uncertainty.attr.kg.co2e.per.euro	per1p5macro.uncertainty.80pct.kg.co2e.per.euro	meso.code	meso.description	meso.ef.kg.co2e.per.euro	meso.uncertainty.kg.co2e.per.euro	micro.code	micro.description	micro.ef.kg.co2e.per.euro	micro.uncertainty.kg.co2e.per.euro	method	per1p5.ef.kg.co2e.per.euro	per1p5.uncertainty.attr.kg.co2e.per.euro	per1p5.uncertainty.80pct.kg.co2e.per.euro	uncertainty.groupby	module	category	scope.source.v4	scope.source.v5
DA17	PEAGES AUTOROUTE ET DROITS DE STATIONNEMENT	MOTORWAY TOLLS AND PARKING FEES						ADEME11	Entreposage et services auxiliaires des transports	0.17	0.0	0.136	54151A	Other computer related services, including facilities management	0.08	0.0	0.064	0.13	0.05	0.104									macro	0.13	0.05	0.104	DA17	purchases	transport	9	4.5
DA18	PRESTATIONS DE TRANSPORTS SANITAIRES	MEDICAL TRANSPORT SERVICES						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	(621500 ; 621400)	Medical laboratories/Outpatient healthcare	0.13	0.0	0.104	0.29	0.23	0.232									macro	0.29	0.23	0.232	DA18	purchases	transport	13	3.5
DA19	PRESTATIONS DE TRANSPORTS FUNERAIRES	FUNERAL TRANSPORT SERVICES						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	812200	Funerary services	0.04	0.0	0.032	0.31	0.26	0.248									macro	0.31	0.26	0.248	DA19	purchases	transport	13	3.5
DB11	HEBERGEMENT EN H_x001A_TEL (HORS EVENEMENTIEL)	HOTEL ACCOMMODATION (EXCLUDING EVENTS)						ADEME04	Hebergement et restauration	0.32	0.0	0.256	721000	Hotels and campgrounds	0.23	0.0	0.184	0.29	0.05	0.232									macro	0.29	0.05	0.232	DB11	purchases	transport	9	4.5
DB12	HEBERGEMENT EN PENSION, DEMI-PENSION, REFUGE, CAMPING... (HORS EVENEMENTIEL)	ACCOMMODATION IN BOARD, HALF-BOARD, REFUGE, CAMPING... (EXCLUDING EVENTS)						ADEME04	Hebergement et restauration	0.32	0.0	0.256	721000	Hotels and campgrounds	0.23	0.0	0.184	0.34	0.13	0.272									macro	0.34	0.13	0.272	DB12	purchases	transport	9	4.5
DC01	SERVICES DE RESERVATIONS PAR AGENCES DE VOYAGE OU CENTRALES DE RESERVATION	RESERVATION SERVICES THROUGH TRAVEL AGENCIES OR RESERVATION CENTRES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561500	Travel arrangement and reservation	0.1	0.0	0.08000000000000002	0.16	0.05	0.128									macro	0.16	0.05	0.128	DC01	travels	transport	9	4.5
DC11	SERVICES DE GESTION DES VISAS ET DES FORMALITES ADMINISTRATIVES_x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A_ _x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A__x001A_	VISA AND ADMINISTRATIVE FORMALITIES MANAGEMENT SERVICES						ADEME28	Administration publiques et defense, securite sociale obligatoire	0.16	0.0	0.128	561100	Office administration	0.09	0.0	0.072	0.12	0.03	0.096									macro	0.12	0.03	0.096	DC11	purchases	transport	9	4.5
DC12	VOYAGES D ETUDES	STUDY TRIPS						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561500	Travel arrangement and reservation	0.1	0.0	0.08000000000000002	0.16	0.05	0.128									macro	0.16	0.05	0.128	DC12	travels	transport	16	3.4
EA01	ASSURANCES DU PARC VEHICULES ROUTIER	ROAD VEHICLE FLEET INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA02	ASSURANCES DE LA FLOTTE AERIENNE	AIR FLEET INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA03	ASSURANCES DES VEHICULES MARITIMES, FLUVIAUX ET LACUSTRES	MARINE, INLAND WATERWAY AND LAKE VEHICLE INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA11	ASSURANCES DE BIENS IMMOBILIERS	REAL ESTATE INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA12	ASSURANCES D'EQUIPEMENTS SCIENTIFIQUES	SCIENTIFIC EQUIPMENT INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA13	ASSURANCES DES MARCHANDISES TRANSPORTEES	INSURANCE OF TRANSPORTED GOODS						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA14	ASSURANCES DES ANIMAUX	ANIMAL INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA21	ASSURANCE RESPONSABILITE CIVILE	INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA22	ASSURANCES RAPATRIEMENT DES AGENTS EN MISSION	REPATRIATION INSURANCE FOR STAFF ON MISSION						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA23	ASSURANCES COUVERTURE SANTE / MUTUELLE	HEALTH INSURANCE / MUTUAL INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA24	AUTRES ASSURANCES	OTHER INSURANCE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EA31	SERVICES DE CONSEIL ET AUDIT EN ASSURANCE	INSURANCE CONSULTANCY AND AUDITING SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	524200 / 5241XX	Insurance agencies and brokerages / Insurance carriers, except direct life	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EA31	purchases	services	9	4.5
EB01	ETUDES DE MARCHES DANS LE DOMAINE DE LA VALORISATION DE LA RECHERCHE	MARKET STUDIES IN THE FIELD OF RESEARCH DEVELOPMENT						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541610 / 5419A0	Management consulting / Marketing research and all other miscellaneous professional, scientific, and technical services	0.08	0.01	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB02	ASSISTANCE A MAITRISE D'OUVRAGE (HORS BATIMENTS ET SI - TELECOM)	PROJECT MANAGEMENT ASSISTANCE (EXCLUDING BUILDINGS AND TELECOMMUNICATIONS)						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	541610 / 5419A0	Management consulting / Marketing research and all other miscellaneous professional, scientific, and technical services	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB02	purchases	services	9	4.5
EB03	CONSEIL EN SECURITE (HORS CHANTIER) ET PROTECTION DES BIENS ET DES PERSONNES	SAFETY CONSULTANCY (EXCLUDING CONSTRUCTION SITES) AND PROTECTION OF GOODS AND PEOPLE						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541610 / 5419A0	Management consulting / Marketing research and all other miscellaneous professional, scientific, and technical services	0.08	0.01	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB04	AUTRES MISSIONS D'ETUDES ET DE CONSEIL (HORS B_x001A_TIMENT ET INFORMATIQUE)	OTHER STUDIES AND CONSULTANCY SERVICES (EXCLUDING BUILDING AND IT)						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541610 / 5419A0	Management consulting / Marketing research and all other miscellaneous professional, scientific, and technical services	0.08	0.01	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB11	AUDIT ORGANISATIONNEL	ORGANISATIONAL AUDIT						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB12	AUDIT FICIER	FICER AUDIT						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB13	CERTIFICATION LEGALE DES COMPTES	LEGAL CERTIFICATION OF ACCOUNTS						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB14	AUDIT ENERGERTIQUE (ENVIRONNEMENTAL, BILAN CARBONE,_x001A_)	ENERGY AUDIT (ENVIRONMENTAL, CARBON FOOTPRINT,...)						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB15	AUDIT HYGIENE ET SECURITE	HYGIENE AND SAFETY AUDIT						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB16	AUTRES SERVICES D'AUDIT ET D'ACCREDITATION	OTHER AUDIT AND ACCREDITATION SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200 / 561100	Accounting, tax preparation, bookkeeping, and payroll / Office administration	0.08	0.03	0.064	0.09	0.02	0.072									macro	0.09	0.02	0.072	EB04	purchases	services	9	4.5
EB21	ENQUETES	SURVEYS						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	541610 / 561900	Management consulting / Other support services	0.13	0.08	0.104	0.15	0.06	0.12									macro	0.15	0.06	0.12	EB23	purchases	services	9	4.5
EB22	SONDAGES	SURVEYS						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	541610 / 561900	Management consulting / Other support services	0.13	0.08	0.104	0.15	0.06	0.12									macro	0.15	0.06	0.12	EB23	purchases	services	9	4.5
EB23	PRESTATION DE SERVICE DE VOTES (URNE OU ELECTRONIQUE)	VOTING SERVICES (BALLOT BOX OR ELECTRONIC)						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	541610 / 561900	Management consulting / Other support services	0.13	0.08	0.104	0.15	0.06	0.12									macro	0.15	0.06	0.12	EB23	purchases	services	9	4.5
EB31	SERVICES BANCAIRES	BANKING SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200	Accounting, tax preparation, bookkeeping, and payroll	0.06	0.0	0.048	0.08	0.03	0.064									macro	0.08	0.03	0.064	XD53	purchases	services	9	4.5
EB32	INTERMEDIATION FICIERE ET ACTIVITES DE CONSEIL	FINANCIAL INTERMEDIATION AND ADVISORY SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200	Accounting, tax preparation, bookkeeping, and payroll	0.06	0.0	0.048	0.08	0.03	0.064									macro	0.08	0.03	0.064	XD53	purchases	services	9	4.5
EB33	AUTRES SERVICES FICIERS ET COMPTABLES	OTHER FINANCIAL AND ACCOUNTING SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541200	Accounting, tax preparation, bookkeeping, and payroll	0.06	0.0	0.048	0.08	0.03	0.064									macro	0.08	0.03	0.064	XD53	purchases	services	9	4.5
EB41	SERVICES D'ADMINISTRATION D'IMMEUBLES ET FRAIS D'AGENCES IMMOBILIERES	REAL ESTATE MANAGEMENT SERVICES AND REAL ESTATE AGENCY FEES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	531ORE	Other real estate	0.46	0.0	0.368	0.26	0.18	0.208									macro	0.26	0.18	0.208	EB41	purchases	services	9	4.5
EB51	SERVICES DE TRADUCTION	TRANSLATION SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB52	SERVICES D'INTERPRETARIAT	INTERPRETING SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB53	SERVICES DE TRANSCRIPTION	TRANSCRIPTION SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB54	SERVICES DE SONORISATION	PUBLIC ADDRESS SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB55	SERVICES DE SOUS-TITRAGE	SUBTITLING SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB56	SERVICES DE REVISION DE TEXTES	TEXT REVISION SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	5419A0 / 541610	Marketing research and all other miscellaneous professional, scientific, and technical services / Management consulting	0.08	0.01	0.064	0.11	0.05	0.08800000000000001									macro	0.11	0.05	0.08800000000000001	EB56	purchases	services	9	4.5
EB61	SERVICES DE CONSEILS JURIDIQUES	LEGAL ADVICE SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	541100	Legal services	0.07	0.0	0.05600000000000001	0.08	0.03	0.064									macro	0.08	0.03	0.064	XD44	purchases	services	9	4.5
EB62	SERVICES D'ETABLISSEMENT D'ACTES AUTHENTIQUES ET DES AUXILIAIRES DE JUSTICE	AUTHENTICATION AND COURT OFFICER SERVICES						ADEME01 / ADEME05	Assurance, services bancaires, conseil et honoraires / Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.14	0.04	0.112	541100	Legal services	0.07	0.0	0.05600000000000001	0.09	0.05	0.072									macro	0.09	0.05	0.072	EB63	purchases	services	9	4.5
EB63	SERVICES DE REPRESENTATION JURIDIQUE	LEGAL REPRESENTATION SERVICES						ADEME01 / ADEME05	Assurance, services bancaires, conseil et honoraires / Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.14	0.04	0.112	541100	Legal services	0.07	0.0	0.05600000000000001	0.09	0.05	0.072									macro	0.09	0.05	0.072	EB63	purchases	services	9	4.5
EC01	FORMATIONS D'ACCOMPAGNEMENT TECHNIQUES ET METIERS SCIENTIFIQUES	TECHNICAL AND SCIENTIFIC TRAINING COURSES						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC02	FORMATIONS D'ACCOMPAGNEMENT EN LANGUES	LANGUAGE TRAINING AND COACHING						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC03	FORMATIONS D'ACCOMPAGNEMENT EN BUREAUTIQUE	ACCOMPANYING COURSES IN OFFICE AUTOMATION						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC04	FORMATIONS D'ACCOMPAGNEMENT EN PREVENTION ET SECURITE	TRAINING COURSES IN PREVENTION AND SAFETY						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC05	FORMATIONS D'ACCOMPAGNEMENT EN METHODES DE TRAVAIL (MANAGEMENT, SAVOIR ETRE,_x001A_)	COACHING IN WORKING METHODS (MANAGEMENT, INTERPERSONAL SKILLS, ETC.)						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC06	FORMATIONS D'ACCOMPAGNEMENT DES FONCTIONS SUPPORT ET SOUTIEN	SUPPORT TRAINING FOR SUPPORT FUNCTIONS AND SUPPORT						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC07	AUTRES FORMATIONS D'ACCOMPAGNEMENT	OTHER COACHING COURSES						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC08	TESTS PROFESSIONNELS	PROFESSIONAL TESTS						ADEME29	Enseignement	0.12	0.0	0.096	561400 / 611B00	Business support / Other educational services	0.16	0.01	0.128	0.14	0.02	0.112									macro	0.14	0.02	0.112	EC08	purchases	services	9	4.5
EC11	FORMATIONS D'APPRENTISSAGE DE LA CONDUITE (AUTOMOBILE, BATEAU, AVION,_x001A_)	TRAINING COURSES IN DRIVING SKILLS (CAR, BOAT, PLANE, ETC.)						ADEME29	Enseignement	0.12	0.0	0.096	611B00	Other educational services	0.17	0.0	0.136	0.14	0.03	0.112									macro	0.14	0.03	0.112	EE21	purchases	services	9	4.5
EC12	PREPARATIONS AUX CONCOURS	PREPARATION FOR COMPETITIVE EXAMINATIONS						ADEME29	Enseignement	0.12	0.0	0.096	611B00	Other educational services	0.17	0.0	0.136	0.14	0.03	0.112									macro	0.14	0.03	0.112	EE21	purchases	services	9	4.5
EC13	PREPARATIONS AUX EXAMENS PROFESSIONNELS	PREPARATION FOR PROFESSIONAL EXAMS						ADEME29	Enseignement	0.12	0.0	0.096	611B00	Other educational services	0.17	0.0	0.136	0.14	0.03	0.112									macro	0.14	0.03	0.112	EE21	purchases	services	9	4.5
EC14	FORMATIONS D'INSERTION PROFESSIONNELLE	TRAINING FOR PROFESSIONAL INTEGRATION						ADEME29	Enseignement	0.12	0.0	0.096	611B00	Other educational services	0.17	0.0	0.136	0.14	0.03	0.112									macro	0.14	0.03	0.112	EE21	purchases	services	9	4.5
EC15	AUTRES FORMATIONS PREPARATOIRES	OTHER PREPARATORY COURSES						ADEME29	Enseignement	0.12	0.0	0.096	611B00	Other educational services	0.17	0.0	0.136	0.14	0.03	0.112									macro	0.14	0.03	0.112	EE21	purchases	services	9	4.5
EC21	BILANS DE COMPETENCES, VAE, QUALIFICATION, INSERTION PROFESSIONNELLE	SKILLS ASSESSMENT, VOCATIONAL TRAINING, QUALIFICATION, PROFESSIONAL INTEGRATION						ADEME29	Enseignement	0.12	0.0	0.096	561300	Employment services	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EC23	purchases	services	9	4.5
EC22	AUDITS D'UNITES OU DE SERVICES	AUDITS OF UNITS OR SERVICES						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	561300	Employment services	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EC23	purchases	services	9	4.5
EC23	ASSISTANCE, CONSEIL ET SERVICES EN RECRUTEMENT	ASSISTANCE, ADVICE AND SERVICES IN RECRUITMENT						ADEME01	Assurance, services bancaires, conseil et honoraires	0.11	0.0	0.08800000000000001	561300	Employment services	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EC23	purchases	services	9	4.5
EC24	PSYCHOLOGUES, GRAPHOLOGUES	PSYCHOLOGISTS, GRAPHOLOGISTS						ADEME31	Activites pour la sante humaine	0.12	0.0	0.096	561300	Employment services	0.04	0.0	0.032	0.07	0.04	0.05600000000000001									macro	0.07	0.04	0.05600000000000001	EC23	purchases	services	9	4.5
EC25	ORGANISATION DE CONCOURS	ORGANISATION OF COMPETITIONS						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561300	Employment services	0.04	0.0	0.032	0.09	0.07	0.072									macro	0.09	0.07	0.072	EC23	purchases	services	9	4.5
EC26	SERVICES D'AGENCES INTERIM	INTERIM AGENCY SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561300	Employment services	0.04	0.0	0.032	0.09	0.07	0.072									macro	0.09	0.07	0.072	EC23	purchases	services	9	4.5
EC27	AUTRES SERVICES DE GESTION DES RESSOURCES HUMAINES	OTHER HUMAN RESOURCES MANAGEMENT SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561300	Employment services	0.04	0.0	0.032	0.09	0.07	0.072									macro	0.09	0.07	0.072	EC23	purchases	services	9	4.5
EC31	SERVICES SOCIAUX DE CONSEIL EN ECONOMIE SOCIALE ET FAMILIALE	SOCIAL SERVICES OF SOCIAL AND FAMILY ECONOMY COUNSELLING						ADEME32	Action sociale	0.1	0.0	0.08000000000000002	624A00	Community food, housing, and other relief services, including rehabilitation services	0.34	0.0	0.272	0.23	0.12	0.184									macro	0.23	0.12	0.184	EC36	purchases	services	9	4.5
EC32	SERVICES SOCIAUX D'HEBERGEMENT	SOCIAL HOUSING SERVICES						ADEME04	Hebergement et restauration	0.32	0.0	0.256	624A00	Community food, housing, and other relief services, including rehabilitation services	0.34	0.0	0.272	0.3	0.06	0.24									macro	0.3	0.06	0.24	EC32	purchases	services	9	4.5
